Agregados macroeconómicos;Ramas de actividad;Periodo;Total
Consumos intermedios;59-60 Actividades cinematográficas, de video y programas de televisión, grabación de sonido y edición musical; actividades de programación y emisión de radio y telivisión;2008;9.165
Consumos intermedios;59-60 Actividades cinematográficas, de video y programas de televisión, grabación de sonido y edición musical; actividades de programación y emisión de radio y telivisión;2007;8.191
Consumos intermedios;59-60 Actividades cinematográficas, de video y programas de televisión, grabación de sonido y edición musical; actividades de programación y emisión de radio y telivisión;2006;7.625
Consumos intermedios;59-60 Actividades cinematográficas, de video y programas de televisión, grabación de sonido y edición musical; actividades de programación y emisión de radio y telivisión;2005;7.160
Consumos intermedios;59-60 Actividades cinematográficas, de video y programas de televisión, grabación de sonido y edición musical; actividades de programación y emisión de radio y telivisión;2004;6.804
Consumos intermedios;59-60 Actividades cinematográficas, de video y programas de televisión, grabación de sonido y edición musical; actividades de programación y emisión de radio y telivisión;2003;6.006
Consumos intermedios;59-60 Actividades cinematográficas, de video y programas de televisión, grabación de sonido y edición musical; actividades de programación y emisión de radio y telivisión;2002;5.747
Consumos intermedios;59-60 Actividades cinematográficas, de video y programas de televisión, grabación de sonido y edición musical; actividades de programación y emisión de radio y telivisión;2001;5.423
Consumos intermedios;59-60 Actividades cinematográficas, de video y programas de televisión, grabación de sonido y edición musical; actividades de programación y emisión de radio y telivisión;2000;5.111
Consumos intermedios;59-60 Actividades cinematográficas, de video y programas de televisión, grabación de sonido y edición musical; actividades de programación y emisión de radio y telivisión;1999;4.455
Consumos intermedios;59-60 Actividades cinematográficas, de video y programas de televisión, grabación de sonido y edición musical; actividades de programación y emisión de radio y telivisión;1998;3.807
Consumos intermedios;59-60 Actividades cinematográficas, de video y programas de televisión, grabación de sonido y edición musical; actividades de programación y emisión de radio y telivisión;1997;3.357
Consumos intermedios;59-60 Actividades cinematográficas, de video y programas de televisión, grabación de sonido y edición musical; actividades de programación y emisión de radio y telivisión;1996;3.034
Consumos intermedios;59-60 Actividades cinematográficas, de video y programas de televisión, grabación de sonido y edición musical; actividades de programación y emisión de radio y telivisión;1995;2.818
Consumos intermedios;61 Telecomunicaciones;2018;..
Consumos intermedios;61 Telecomunicaciones;2017;16.375
Consumos intermedios;61 Telecomunicaciones;2016;14.886
Consumos intermedios;61 Telecomunicaciones;2015;14.452
Consumos intermedios;61 Telecomunicaciones;2014;16.235
Consumos intermedios;61 Telecomunicaciones;2013;16.545
Consumos intermedios;61 Telecomunicaciones;2012;18.102
Consumos intermedios;61 Telecomunicaciones;2011;19.514
Consumos intermedios;61 Telecomunicaciones;2010;20.138
Consumos intermedios;61 Telecomunicaciones;2009;20.273
Consumos intermedios;61 Telecomunicaciones;2008;20.514
Consumos intermedios;61 Telecomunicaciones;2007;20.251
Consumos intermedios;61 Telecomunicaciones;2006;18.695
Consumos intermedios;61 Telecomunicaciones;2005;18.631
Consumos intermedios;61 Telecomunicaciones;2004;16.162
Consumos intermedios;61 Telecomunicaciones;2003;14.210
Consumos intermedios;61 Telecomunicaciones;2002;13.606
Consumos intermedios;61 Telecomunicaciones;2001;12.459
Consumos intermedios;61 Telecomunicaciones;2000;10.928
Consumos intermedios;61 Telecomunicaciones;1999;8.431
Consumos intermedios;61 Telecomunicaciones;1998;5.807
Consumos intermedios;61 Telecomunicaciones;1997;4.522
Consumos intermedios;61 Telecomunicaciones;1996;3.887
Consumos intermedios;61 Telecomunicaciones;1995;2.305
Consumos intermedios;62-63 Programación, consultoría y otros actividades relacionadas con la informática; servicios de información;2018;..
Consumos intermedios;62-63 Programación, consultoría y otros actividades relacionadas con la informática; servicios de información;2017;17.756
Consumos intermedios;62-63 Programación, consultoría y otros actividades relacionadas con la informática; servicios de información;2016;16.431
Consumos intermedios;62-63 Programación, consultoría y otros actividades relacionadas con la informática; servicios de información;2015;15.124
Consumos intermedios;62-63 Programación, consultoría y otros actividades relacionadas con la informática; servicios de información;2014;13.748
Consumos intermedios;62-63 Programación, consultoría y otros actividades relacionadas con la informática; servicios de información;2013;12.719
Consumos intermedios;62-63 Programación, consultoría y otros actividades relacionadas con la informática; servicios de información;2012;12.884
Consumos intermedios;62-63 Programación, consultoría y otros actividades relacionadas con la informática; servicios de información;2011;12.153
Consumos intermedios;62-63 Programación, consultoría y otros actividades relacionadas con la informática; servicios de información;2010;10.876
Consumos intermedios;62-63 Programación, consultoría y otros actividades relacionadas con la informática; servicios de información;2009;9.724
Consumos intermedios;62-63 Programación, consultoría y otros actividades relacionadas con la informática; servicios de información;2008;10.400
Consumos intermedios;62-63 Programación, consultoría y otros actividades relacionadas con la informática; servicios de información;2007;9.769
Consumos intermedios;62-63 Programación, consultoría y otros actividades relacionadas con la informática; servicios de información;2006;7.706
Consumos intermedios;62-63 Programación, consultoría y otros actividades relacionadas con la informática; servicios de información;2005;5.829
Consumos intermedios;62-63 Programación, consultoría y otros actividades relacionadas con la informática; servicios de información;2004;5.263
Consumos intermedios;62-63 Programación, consultoría y otros actividades relacionadas con la informática; servicios de información;2003;4.524
Consumos intermedios;62-63 Programación, consultoría y otros actividades relacionadas con la informática; servicios de información;2002;4.351
Consumos intermedios;62-63 Programación, consultoría y otros actividades relacionadas con la informática; servicios de información;2001;3.913
Consumos intermedios;62-63 Programación, consultoría y otros actividades relacionadas con la informática; servicios de información;2000;3.150
Consumos intermedios;62-63 Programación, consultoría y otros actividades relacionadas con la informática; servicios de información;1999;2.610
Consumos intermedios;62-63 Programación, consultoría y otros actividades relacionadas con la informática; servicios de información;1998;1.889
Consumos intermedios;62-63 Programación, consultoría y otros actividades relacionadas con la informática; servicios de información;1997;1.409
Consumos intermedios;62-63 Programación, consultoría y otros actividades relacionadas con la informática; servicios de información;1996;1.063
Consumos intermedios;62-63 Programación, consultoría y otros actividades relacionadas con la informática; servicios de información;1995;865
Consumos intermedios;K Actividades financieras y de seguros;2018;32.807
Consumos intermedios;K Actividades financieras y de seguros;2017;33.337
Consumos intermedios;K Actividades financieras y de seguros;2016;32.369
Consumos intermedios;K Actividades financieras y de seguros;2015;31.501
Consumos intermedios;K Actividades financieras y de seguros;2014;31.972
Consumos intermedios;K Actividades financieras y de seguros;2013;31.557
Consumos intermedios;K Actividades financieras y de seguros;2012;31.871
Consumos intermedios;K Actividades financieras y de seguros;2011;32.160
Consumos intermedios;K Actividades financieras y de seguros;2010;30.769
Consumos intermedios;K Actividades financieras y de seguros;2009;30.559
Consumos intermedios;K Actividades financieras y de seguros;2008;34.787
Consumos intermedios;K Actividades financieras y de seguros;2007;33.602
Consumos intermedios;K Actividades financieras y de seguros;2006;29.944
Consumos intermedios;K Actividades financieras y de seguros;2005;25.790
Consumos intermedios;K Actividades financieras y de seguros;2004;23.346
Consumos intermedios;K Actividades financieras y de seguros;2003;21.381
Consumos intermedios;K Actividades financieras y de seguros;2002;20.771
Consumos intermedios;K Actividades financieras y de seguros;2001;19.146
Consumos intermedios;K Actividades financieras y de seguros;2000;18.391
Consumos intermedios;K Actividades financieras y de seguros;1999;16.749
Consumos intermedios;K Actividades financieras y de seguros;1998;16.181
Consumos intermedios;K Actividades financieras y de seguros;1997;15.440
Consumos intermedios;K Actividades financieras y de seguros;1996;14.375
Consumos intermedios;K Actividades financieras y de seguros;1995;13.698
Consumos intermedios;K Actividades financieras y de seguros;2018;32.807
Consumos intermedios;K Actividades financieras y de seguros;2017;33.337
Consumos intermedios;K Actividades financieras y de seguros;2016;32.369
Consumos intermedios;K Actividades financieras y de seguros;2015;31.501
Consumos intermedios;K Actividades financieras y de seguros;2014;31.972
Consumos intermedios;K Actividades financieras y de seguros;2013;31.557
Consumos intermedios;K Actividades financieras y de seguros;2012;31.871
Consumos intermedios;K Actividades financieras y de seguros;2011;32.160
Consumos intermedios;K Actividades financieras y de seguros;2010;30.769
Consumos intermedios;K Actividades financieras y de seguros;2009;30.559
Consumos intermedios;K Actividades financieras y de seguros;2008;34.787
Consumos intermedios;K Actividades financieras y de seguros;2007;33.602
Consumos intermedios;K Actividades financieras y de seguros;2006;29.944
Consumos intermedios;K Actividades financieras y de seguros;2005;25.790
Consumos intermedios;K Actividades financieras y de seguros;2004;23.346
Consumos intermedios;K Actividades financieras y de seguros;2003;21.381
Consumos intermedios;K Actividades financieras y de seguros;2002;20.771
Consumos intermedios;K Actividades financieras y de seguros;2001;19.146
Consumos intermedios;K Actividades financieras y de seguros;2000;18.391
Consumos intermedios;K Actividades financieras y de seguros;1999;16.749
Consumos intermedios;K Actividades financieras y de seguros;1998;16.181
Consumos intermedios;K Actividades financieras y de seguros;1997;15.440
Consumos intermedios;K Actividades financieras y de seguros;1996;14.375
Consumos intermedios;K Actividades financieras y de seguros;1995;13.698
Consumos intermedios;64 Servicios financieros, excepto seguros y fondos de pensiones;2018;..
Consumos intermedios;64 Servicios financieros, excepto seguros y fondos de pensiones;2017;15.339
Consumos intermedios;64 Servicios financieros, excepto seguros y fondos de pensiones;2016;15.627
Consumos intermedios;64 Servicios financieros, excepto seguros y fondos de pensiones;2015;14.796
Consumos intermedios;64 Servicios financieros, excepto seguros y fondos de pensiones;2014;15.236
Consumos intermedios;64 Servicios financieros, excepto seguros y fondos de pensiones;2013;15.206
Consumos intermedios;64 Servicios financieros, excepto seguros y fondos de pensiones;2012;15.445
Consumos intermedios;64 Servicios financieros, excepto seguros y fondos de pensiones;2011;15.930
Consumos intermedios;64 Servicios financieros, excepto seguros y fondos de pensiones;2010;15.267
Consumos intermedios;64 Servicios financieros, excepto seguros y fondos de pensiones;2009;14.620
Consumos intermedios;64 Servicios financieros, excepto seguros y fondos de pensiones;2008;17.670
Consumos intermedios;64 Servicios financieros, excepto seguros y fondos de pensiones;2007;15.588
Consumos intermedios;64 Servicios financieros, excepto seguros y fondos de pensiones;2006;12.728
Consumos intermedios;64 Servicios financieros, excepto seguros y fondos de pensiones;2005;10.890
Consumos intermedios;64 Servicios financieros, excepto seguros y fondos de pensiones;2004;9.890
Consumos intermedios;64 Servicios financieros, excepto seguros y fondos de pensiones;2003;9.229
Consumos intermedios;64 Servicios financieros, excepto seguros y fondos de pensiones;2002;9.122
Consumos intermedios;64 Servicios financieros, excepto seguros y fondos de pensiones;2001;8.755
Consumos intermedios;64 Servicios financieros, excepto seguros y fondos de pensiones;2000;8.100
Consumos intermedios;64 Servicios financieros, excepto seguros y fondos de pensiones;1999;7.514
Consumos intermedios;64 Servicios financieros, excepto seguros y fondos de pensiones;1998;6.993
Consumos intermedios;64 Servicios financieros, excepto seguros y fondos de pensiones;1997;6.691
Consumos intermedios;64 Servicios financieros, excepto seguros y fondos de pensiones;1996;6.236
Consumos intermedios;64 Servicios financieros, excepto seguros y fondos de pensiones;1995;5.882
Consumos intermedios;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;2018;..
Consumos intermedios;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;2017;11.161
Consumos intermedios;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;2016;11.099
Consumos intermedios;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;2015;11.168
Consumos intermedios;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;2014;11.354
Consumos intermedios;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;2013;11.610
Consumos intermedios;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;2012;11.707
Consumos intermedios;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;2011;11.414
Consumos intermedios;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;2010;10.792
Consumos intermedios;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;2009;11.079
Consumos intermedios;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;2008;11.507
Consumos intermedios;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;2007;11.778
Consumos intermedios;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;2006;11.155
Consumos intermedios;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;2005;9.625
Consumos intermedios;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;2004;8.981
Consumos intermedios;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;2003;8.155
Consumos intermedios;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;2002;7.854
Consumos intermedios;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;2001;6.689
Consumos intermedios;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;2000;6.516
Consumos intermedios;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;1999;5.590
Consumos intermedios;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;1998;5.742
Consumos intermedios;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;1997;5.877
Consumos intermedios;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;1996;5.843
Consumos intermedios;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;1995;5.714
Consumos intermedios;66 Actividades auxiliares a los servicios financieros y a los seguros;2018;..
Consumos intermedios;66 Actividades auxiliares a los servicios financieros y a los seguros;2017;6.837
Consumos intermedios;66 Actividades auxiliares a los servicios financieros y a los seguros;2016;5.643
Consumos intermedios;66 Actividades auxiliares a los servicios financieros y a los seguros;2015;5.537
Consumos intermedios;66 Actividades auxiliares a los servicios financieros y a los seguros;2014;5.382
Consumos intermedios;66 Actividades auxiliares a los servicios financieros y a los seguros;2013;4.741
Consumos intermedios;66 Actividades auxiliares a los servicios financieros y a los seguros;2012;4.719
Consumos intermedios;66 Actividades auxiliares a los servicios financieros y a los seguros;2011;4.816
Consumos intermedios;66 Actividades auxiliares a los servicios financieros y a los seguros;2010;4.710
Consumos intermedios;66 Actividades auxiliares a los servicios financieros y a los seguros;2009;4.860
Consumos intermedios;66 Actividades auxiliares a los servicios financieros y a los seguros;2008;5.610
Consumos intermedios;66 Actividades auxiliares a los servicios financieros y a los seguros;2007;6.236
Consumos intermedios;66 Actividades auxiliares a los servicios financieros y a los seguros;2006;6.061
Consumos intermedios;66 Actividades auxiliares a los servicios financieros y a los seguros;2005;5.275
Consumos intermedios;66 Actividades auxiliares a los servicios financieros y a los seguros;2004;4.475
Consumos intermedios;66 Actividades auxiliares a los servicios financieros y a los seguros;2003;3.997
Consumos intermedios;66 Actividades auxiliares a los servicios financieros y a los seguros;2002;3.795
Consumos intermedios;66 Actividades auxiliares a los servicios financieros y a los seguros;2001;3.702
Consumos intermedios;66 Actividades auxiliares a los servicios financieros y a los seguros;2000;3.775
Consumos intermedios;66 Actividades auxiliares a los servicios financieros y a los seguros;1999;3.645
Consumos intermedios;66 Actividades auxiliares a los servicios financieros y a los seguros;1998;3.446
Consumos intermedios;66 Actividades auxiliares a los servicios financieros y a los seguros;1997;2.872
Consumos intermedios;66 Actividades auxiliares a los servicios financieros y a los seguros;1996;2.296
Consumos intermedios;66 Actividades auxiliares a los servicios financieros y a los seguros;1995;2.102
Consumos intermedios;L Actividades inmobiliarias;2018;20.453
Consumos intermedios;L Actividades inmobiliarias;2017;18.494
Consumos intermedios;L Actividades inmobiliarias;2016;16.803
Consumos intermedios;L Actividades inmobiliarias;2015;17.512
Consumos intermedios;L Actividades inmobiliarias;2014;17.140
Consumos intermedios;L Actividades inmobiliarias;2013;16.823
Consumos intermedios;L Actividades inmobiliarias;2012;19.868
Consumos intermedios;L Actividades inmobiliarias;2011;18.795
Consumos intermedios;L Actividades inmobiliarias;2010;21.146
Consumos intermedios;L Actividades inmobiliarias;2009;29.964
Consumos intermedios;L Actividades inmobiliarias;2008;21.223
Consumos intermedios;L Actividades inmobiliarias;2007;19.341
Consumos intermedios;L Actividades inmobiliarias;2006;19.067
Consumos intermedios;L Actividades inmobiliarias;2005;18.279
Consumos intermedios;L Actividades inmobiliarias;2004;17.743
Consumos intermedios;L Actividades inmobiliarias;2003;17.052
Consumos intermedios;L Actividades inmobiliarias;2002;15.803
Consumos intermedios;L Actividades inmobiliarias;2001;14.023
Consumos intermedios;L Actividades inmobiliarias;2000;12.197
Consumos intermedios;L Actividades inmobiliarias;1999;12.485
Consumos intermedios;L Actividades inmobiliarias;1998;11.664
Consumos intermedios;L Actividades inmobiliarias;1997;10.582
Consumos intermedios;L Actividades inmobiliarias;1996;9.325
Consumos intermedios;L Actividades inmobiliarias;1995;7.908
Consumos intermedios;L Actividades inmobiliarias;2018;20.453
Consumos intermedios;L Actividades inmobiliarias;2017;18.494
Consumos intermedios;L Actividades inmobiliarias;2016;16.803
Consumos intermedios;L Actividades inmobiliarias;2015;17.512
Consumos intermedios;L Actividades inmobiliarias;2014;17.140
Consumos intermedios;L Actividades inmobiliarias;2013;16.823
Consumos intermedios;L Actividades inmobiliarias;2012;19.868
Consumos intermedios;L Actividades inmobiliarias;2011;18.795
Consumos intermedios;L Actividades inmobiliarias;2010;21.146
Consumos intermedios;L Actividades inmobiliarias;2009;29.964
Consumos intermedios;L Actividades inmobiliarias;2008;21.223
Consumos intermedios;L Actividades inmobiliarias;2007;19.341
Consumos intermedios;L Actividades inmobiliarias;2006;19.067
Consumos intermedios;L Actividades inmobiliarias;2005;18.279
Consumos intermedios;L Actividades inmobiliarias;2004;17.743
Consumos intermedios;L Actividades inmobiliarias;2003;17.052
Consumos intermedios;L Actividades inmobiliarias;2002;15.803
Consumos intermedios;L Actividades inmobiliarias;2001;14.023
Consumos intermedios;L Actividades inmobiliarias;2000;12.197
Consumos intermedios;L Actividades inmobiliarias;1999;12.485
Consumos intermedios;L Actividades inmobiliarias;1998;11.664
Consumos intermedios;L Actividades inmobiliarias;1997;10.582
Consumos intermedios;L Actividades inmobiliarias;1996;9.325
Consumos intermedios;L Actividades inmobiliarias;1995;7.908
Consumos intermedios;68a Actividades inmobiliarias, salvo alquiler imputado;2018;..
Consumos intermedios;68a Actividades inmobiliarias, salvo alquiler imputado;2017;18.494
Consumos intermedios;68a Actividades inmobiliarias, salvo alquiler imputado;2016;16.803
Consumos intermedios;68a Actividades inmobiliarias, salvo alquiler imputado;2015;17.512
Consumos intermedios;68a Actividades inmobiliarias, salvo alquiler imputado;2014;17.140
Consumos intermedios;68a Actividades inmobiliarias, salvo alquiler imputado;2013;16.823
Consumos intermedios;68a Actividades inmobiliarias, salvo alquiler imputado;2012;19.868
Consumos intermedios;68a Actividades inmobiliarias, salvo alquiler imputado;2011;18.795
Consumos intermedios;68a Actividades inmobiliarias, salvo alquiler imputado;2010;21.146
Consumos intermedios;68a Actividades inmobiliarias, salvo alquiler imputado;2009;29.964
Consumos intermedios;68a Actividades inmobiliarias, salvo alquiler imputado;2008;21.223
Consumos intermedios;68a Actividades inmobiliarias, salvo alquiler imputado;2007;19.341
Consumos intermedios;68a Actividades inmobiliarias, salvo alquiler imputado;2006;19.067
Consumos intermedios;68a Actividades inmobiliarias, salvo alquiler imputado;2005;18.279
Consumos intermedios;68a Actividades inmobiliarias, salvo alquiler imputado;2004;17.743
Consumos intermedios;68a Actividades inmobiliarias, salvo alquiler imputado;2003;17.052
Consumos intermedios;68a Actividades inmobiliarias, salvo alquiler imputado;2002;15.803
Consumos intermedios;68a Actividades inmobiliarias, salvo alquiler imputado;2001;14.023
Consumos intermedios;68a Actividades inmobiliarias, salvo alquiler imputado;2000;12.197
Consumos intermedios;68a Actividades inmobiliarias, salvo alquiler imputado;1999;12.485
Consumos intermedios;68a Actividades inmobiliarias, salvo alquiler imputado;1998;11.664
Consumos intermedios;68a Actividades inmobiliarias, salvo alquiler imputado;1997;10.582
Consumos intermedios;68a Actividades inmobiliarias, salvo alquiler imputado;1996;9.325
Consumos intermedios;68a Actividades inmobiliarias, salvo alquiler imputado;1995;7.908
Consumos intermedios;68b Alquileres imputados de las viviendas ocupadas por sus propietarios;2018;..
Consumos intermedios;68b Alquileres imputados de las viviendas ocupadas por sus propietarios;2017;7.296
Consumos intermedios;68b Alquileres imputados de las viviendas ocupadas por sus propietarios;2016;7.150
Consumos intermedios;68b Alquileres imputados de las viviendas ocupadas por sus propietarios;2015;8.372
Consumos intermedios;68b Alquileres imputados de las viviendas ocupadas por sus propietarios;2014;8.274
Consumos intermedios;68b Alquileres imputados de las viviendas ocupadas por sus propietarios;2013;8.744
Consumos intermedios;68b Alquileres imputados de las viviendas ocupadas por sus propietarios;2012;10.825
Consumos intermedios;68b Alquileres imputados de las viviendas ocupadas por sus propietarios;2011;10.065
Consumos intermedios;68b Alquileres imputados de las viviendas ocupadas por sus propietarios;2010;12.556
Consumos intermedios;68b Alquileres imputados de las viviendas ocupadas por sus propietarios;2009;20.740
Consumos intermedios;68b Alquileres imputados de las viviendas ocupadas por sus propietarios;2008;12.354
Consumos intermedios;68b Alquileres imputados de las viviendas ocupadas por sus propietarios;2007;10.707
Consumos intermedios;68b Alquileres imputados de las viviendas ocupadas por sus propietarios;2006;10.822
Consumos intermedios;68b Alquileres imputados de las viviendas ocupadas por sus propietarios;2005;10.759
Consumos intermedios;68b Alquileres imputados de las viviendas ocupadas por sus propietarios;2004;10.924
Consumos intermedios;68b Alquileres imputados de las viviendas ocupadas por sus propietarios;2003;11.101
Consumos intermedios;68b Alquileres imputados de las viviendas ocupadas por sus propietarios;2002;10.540
Consumos intermedios;68b Alquileres imputados de las viviendas ocupadas por sus propietarios;2001;9.233
Consumos intermedios;68b Alquileres imputados de las viviendas ocupadas por sus propietarios;2000;8.144
Consumos intermedios;68b Alquileres imputados de las viviendas ocupadas por sus propietarios;1999;8.830
Consumos intermedios;68b Alquileres imputados de las viviendas ocupadas por sus propietarios;1998;8.362
Consumos intermedios;68b Alquileres imputados de las viviendas ocupadas por sus propietarios;1997;7.773
Consumos intermedios;68b Alquileres imputados de las viviendas ocupadas por sus propietarios;1996;6.955
Consumos intermedios;68b Alquileres imputados de las viviendas ocupadas por sus propietarios;1995;5.661
Consumos intermedios;MN Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares;2018;81.223
Consumos intermedios;MN Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares;2017;76.132
Consumos intermedios;MN Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares;2016;71.857
Consumos intermedios;MN Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares;2015;68.313
Consumos intermedios;MN Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares;2014;61.630
Consumos intermedios;MN Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares;2013;55.499
Consumos intermedios;MN Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares;2012;55.757
Consumos intermedios;MN Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares;2011;57.730
Consumos intermedios;MN Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares;2010;59.813
Consumos intermedios;MN Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares;2009;58.276
Consumos intermedios;MN Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares;2008;62.308
Consumos intermedios;MN Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares;2007;60.610
Consumos intermedios;MN Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares;2006;55.818
Consumos intermedios;MN Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares;2005;47.568
Consumos intermedios;MN Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares;2004;42.450
Consumos intermedios;MN Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares;2003;37.996
Consumos intermedios;MN Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares;2002;35.939
Consumos intermedios;MN Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares;2001;34.032
Consumos intermedios;MN Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares;2000;32.904
Consumos intermedios;MN Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares;1999;28.488
Consumos intermedios;MN Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares;1998;22.517
Consumos intermedios;MN Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares;1997;19.267
Consumos intermedios;MN Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares;1996;16.920
Consumos intermedios;MN Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares;1995;14.539
Consumos intermedios;M Actividades profesionales, científicas y técnicas;2018;44.669
Consumos intermedios;M Actividades profesionales, científicas y técnicas;2017;43.308
Consumos intermedios;M Actividades profesionales, científicas y técnicas;2016;42.197
Consumos intermedios;M Actividades profesionales, científicas y técnicas;2015;40.115
Consumos intermedios;M Actividades profesionales, científicas y técnicas;2014;36.299
Consumos intermedios;M Actividades profesionales, científicas y técnicas;2013;31.879
Consumos intermedios;M Actividades profesionales, científicas y técnicas;2012;33.090
Consumos intermedios;M Actividades profesionales, científicas y técnicas;2011;35.062
Consumos intermedios;M Actividades profesionales, científicas y técnicas;2010;36.632
Consumos intermedios;M Actividades profesionales, científicas y técnicas;2009;35.768
Consumos intermedios;M Actividades profesionales, científicas y técnicas;2008;38.459
Consumos intermedios;M Actividades profesionales, científicas y técnicas;2007;37.599
Consumos intermedios;M Actividades profesionales, científicas y técnicas;2006;34.606
Consumos intermedios;M Actividades profesionales, científicas y técnicas;2005;29.077
Consumos intermedios;M Actividades profesionales, científicas y técnicas;2004;25.881
Consumos intermedios;M Actividades profesionales, científicas y técnicas;2003;23.726
Consumos intermedios;M Actividades profesionales, científicas y técnicas;2002;22.489
Consumos intermedios;M Actividades profesionales, científicas y técnicas;2001;21.561
Consumos intermedios;M Actividades profesionales, científicas y técnicas;2000;20.937
Consumos intermedios;M Actividades profesionales, científicas y técnicas;1999;18.316
Consumos intermedios;M Actividades profesionales, científicas y técnicas;1998;14.422
Consumos intermedios;M Actividades profesionales, científicas y técnicas;1997;12.543
Consumos intermedios;M Actividades profesionales, científicas y técnicas;1996;11.210
Consumos intermedios;M Actividades profesionales, científicas y técnicas;1995;9.906
Consumos intermedios;69-70 Actividades jurídicas y de contabilidad; actividades de las sedes centrales; actividades de consultoría de gestión empresarial;2018;..
Consumos intermedios;69-70 Actividades jurídicas y de contabilidad; actividades de las sedes centrales; actividades de consultoría de gestión empresarial;2017;17.154
Consumos intermedios;69-70 Actividades jurídicas y de contabilidad; actividades de las sedes centrales; actividades de consultoría de gestión empresarial;2016;16.889
Consumos intermedios;69-70 Actividades jurídicas y de contabilidad; actividades de las sedes centrales; actividades de consultoría de gestión empresarial;2015;16.291
Consumos intermedios;69-70 Actividades jurídicas y de contabilidad; actividades de las sedes centrales; actividades de consultoría de gestión empresarial;2014;13.923
Consumos intermedios;69-70 Actividades jurídicas y de contabilidad; actividades de las sedes centrales; actividades de consultoría de gestión empresarial;2013;11.558
Consumos intermedios;69-70 Actividades jurídicas y de contabilidad; actividades de las sedes centrales; actividades de consultoría de gestión empresarial;2012;11.728
Consumos intermedios;69-70 Actividades jurídicas y de contabilidad; actividades de las sedes centrales; actividades de consultoría de gestión empresarial;2011;11.745
Consumos intermedios;69-70 Actividades jurídicas y de contabilidad; actividades de las sedes centrales; actividades de consultoría de gestión empresarial;2010;11.780
Consumos intermedios;69-70 Actividades jurídicas y de contabilidad; actividades de las sedes centrales; actividades de consultoría de gestión empresarial;2009;11.417
Consumos intermedios;69-70 Actividades jurídicas y de contabilidad; actividades de las sedes centrales; actividades de consultoría de gestión empresarial;2008;11.592
